ano,tipo_despesa,esfera_governo,valor_despesa
2016,Ajuda econômica externa,Governo Geral,1.0953327138040084e-06
2017,Ajuda econômica externa,Governo Central,0.0
2017,Ajuda econômica externa,Governos Estaduais,0.0
2017,Ajuda econômica externa,Governos Municipais,3.306786706045895e-07
2017,Ajuda econômica externa,Coluna de Consolidação,0.0
2017,Ajuda econômica externa,Governo Geral,3.306786706045895e-07
2018,Ajuda econômica externa,Governo Central,0.0
2018,Ajuda econômica externa,Governos Estaduais,0.0
2018,Ajuda econômica externa,Governos Municipais,1.930362901550403e-07
2018,Ajuda econômica externa,Coluna de Consolidação,0.0
2018,Ajuda econômica externa,Governo Geral,1.930362901550403e-07
2019,Ajuda econômica externa,Governo Central,0.0
2019,Ajuda econômica externa,Governos Estaduais,0.0
2019,Ajuda econômica externa,Governos Municipais,0.0
2019,Ajuda econômica externa,Coluna de Consolidação,0.0
2019,Ajuda econômica externa,Governo Geral,0.0
2020,Ajuda econômica externa,Governo Central,0.0
2020,Ajuda econômica externa,Governos Estaduais,0.0
2020,Ajuda econômica externa,Governos Municipais,0.0
2020,Ajuda econômica externa,Coluna de Consolidação,0.0
2020,Ajuda econômica externa,Governo Geral,0.0
2021,Ajuda econômica externa,Governo Central,0.0
2021,Ajuda econômica externa,Governos Estaduais,0.0
2021,Ajuda econômica externa,Governos Municipais,0.0
2021,Ajuda econômica externa,Coluna de Consolidação,0.0
2021,Ajuda econômica externa,Governo Geral,0.0
2022,Ajuda econômica externa,Governo Central,0.0
2022,Ajuda econômica externa,Governos Estaduais,0.0
2022,Ajuda econômica externa,Governos Municipais,0.0
2022,Ajuda econômica externa,Coluna de Consolidação,0.0
2022,Ajuda econômica externa,Governo Geral,0.0
2023,Ajuda econômica externa,Governo Central,0.0
2023,Ajuda econômica externa,Governos Estaduais,0.0
2023,Ajuda econômica externa,Governos Municipais,0.0
2023,Ajuda econômica externa,Coluna de Consolidação,0.0
2023,Ajuda econômica externa,Governo Geral,0.0
2024,Ajuda econômica externa,Governo Central,0.0
2024,Ajuda econômica externa,Governos Estaduais,0.0
2024,Ajuda econômica externa,Governos Municipais,0.0
2024,Ajuda econômica externa,Coluna de Consolidação,0.0
2024,Ajuda econômica externa,Governo Geral,0.0
2010,Serviços gerais,Governo Central,0.0007794807966989378
2010,Serviços gerais,Governos Estaduais,0.0011061152759079956
2010,Serviços gerais,Governos Municipais,0.007093903489578079
2010,Serviços gerais,Coluna de Consolidação,-4.5638093724295874e-05
2010,Serviços gerais,Governo Geral,0.008933861468460718
2011,Serviços gerais,Governo Central,0.0004333813219043446
2011,Serviços gerais,Governos Estaduais,0.0009543146938508733
2011,Serviços gerais,Governos Municipais,0.007298830396451014
2011,Serviços gerais,Coluna de Consolidação,-2.8882134372017696e-05
2011,Serviços gerais,Governo Geral,0.008657644277834213
2012,Serviços gerais,Governo Central,0.0003890827138462176
2012,Serviços gerais,Governos Estaduais,0.0009875808042627253
2012,Serviços gerais,Governos Municipais,0.00723952894596284
2012,Serviços gerais,Coluna de Consolidação,-3.110273877556139e-05
2012,Serviços gerais,Governo Geral,0.008585089725296223
2013,Serviços gerais,Governo Central,0.00036921577435647347
2013,Serviços gerais,Governos Estaduais,0.0010580662133646728
2013,Serviços gerais,Governos Municipais,0.006725825653983728
2013,Serviços gerais,Coluna de Consolidação,-3.116657142415418e-05
2013,Serviços gerais,Governo Geral,0.008121941070280721
2014,Serviços gerais,Governo Central,0.00032352738097406577
2014,Serviços gerais,Governos Estaduais,0.0010090356358978584
2014,Serviços gerais,Governos Municipais,0.0068168655359789
2014,Serviços gerais,Coluna de Consolidação,-7.636960816184162e-05
2014,Serviços gerais,Governo Geral,0.008073058944688983
2015,Serviços gerais,Governo Central,0.0003234806861478793
2015,Serviços gerais,Governos Estaduais,0.0008481512669104771
2015,Serviços gerais,Governos Municipais,0.006775420671614896
2015,Serviços gerais,Coluna de Consolidação,-3.7179463994290666e-05
2015,Serviços gerais,Governo Geral,0.007909873160678963
2016,Serviços gerais,Governo Central,0.0003062270270429525
2016,Serviços gerais,Governos Estaduais,0.0004285639843307954
2016,Serviços gerais,Governos Municipais,0.006780891919907405
2016,Serviços gerais,Coluna de Consolidação,-2.3823546805422263e-05
2016,Serviços gerais,Governo Geral,0.007491859384475731
2017,Serviços gerais,Governo Central,0.0003534323972948054
2017,Serviços gerais,Governos Estaduais,0.0004401708494385146
2017,Serviços gerais,Governos Municipais,0.006255382134923366
2017,Serviços gerais,Coluna de Consolidação,-3.298840107361732e-05
2017,Serviços gerais,Governo Geral,0.007015996980583069
2018,Serviços gerais,Governo Central,0.00035151936276946487
2018,Serviços gerais,Governos Estaduais,0.0004388440823543256
2018,Serviços gerais,Governos Municipais,0.006602834557546208
2018,Serviços gerais,Coluna de Consolidação,-1.9377116279216244e-05
2018,Serviços gerais,Governo Geral,0.0073738208863907825
2019,Serviços gerais,Governo Central,0.0002747106003656167
2019,Serviços gerais,Governos Estaduais,0.0004322545456348342
2019,Serviços gerais,Governos Municipais,0.007618515127096019
2019,Serviços gerais,Coluna de Consolidação,-1.557711568318673e-05
2019,Serviços gerais,Governo Geral,0.008309903157413282
2020,Serviços gerais,Governo Central,0.00025935999498024074
2020,Serviços gerais,Governos Estaduais,0.00042811108088242625
2020,Serviços gerais,Governos Municipais,0.00777819861794745
2020,Serviços gerais,Coluna de Consolidação,-1.905354898614276e-05
2020,Serviços gerais,Governo Geral,0.008446616144823975
2021,Serviços gerais,Governo Central,0.00021594490392056771
2021,Serviços gerais,Governos Estaduais,0.0004622583431626641
2021,Serviços gerais,Governos Municipais,0.0070636938968770425
2021,Serviços gerais,Coluna de Consolidação,-1.7468754742354656e-05
2021,Serviços gerais,Governo Geral,0.0077244283892179185
2022,Serviços gerais,Governo Central,0.0003473556317479233
2022,Serviços gerais,Governos Estaduais,0.00047148572078215906
